Name 				Blood group			Area number		Contact		

Abcd				O+				43			9472872023
Efgh				A-				12			8642687329
Ijkl				B-				15			7923846910
Mnop				A+				43			9827364980
Qrst				O+				12			9734629384
Uvwx				B+				22			9238467349
Yzab				A+				22			8374928349
Cdef				AB+				15			7298374928
Ghij				O-				12			9283749283
Klmn				AB-				22			2637163879
Opqr				O-				43			8346281910
Stuv				AB-				15			2937117389
Wxyz				AB+				43			3746238749
Abcd				A-				43			7346983274
Efgh				A+				12			2374693274
Ijkl				B+				15			3478392492
Mnop				B-				43			2376949389
Qrst				AB+				12			9278398237
Uvwx				B-				22			3246923492
Yzab				A-				22			3746283948
Cdef				O+				15			2376837499
Ghij				B+				12			8477492384
Klmn				O-				22			9283974837
Opqr				AB+				43			2738393847
Stuv				A-				15			2398938478
Wxyz				AB+				43			2376938499
Abcd				B+				43			3847934793
Efgh				AB-				12			9284783748
Ijkl				A+				15			9849238749
Mnop				AB-				43			8478647948
Qrst				O+				12			7349823479
Uvwx				AB+				22			3849839992
Yzab				O+				22			3847928379
Cdef				O-				15			3749834793
Ghij				B-				12			3749834938
Klmn				AB-				22			3747749292
Opqr				O-				43			7834692372
Stuv				O+				15			9347924489
Wxyz				AB+				43			7349287492


